prolific ID,paper link,figure label,label in the paper,auto class,manual class,comment auto class,auto data,manual data,auto summary,manual summary,comment on auto summary,in-scope of ALD/E-ImageMiner project
,https://github.com/sciknoworg/ALD-E-ImageMiner/blob/main/example_data/1/Adv%20Materials%20Inter%20-%202024%20-%20Ghazy%20-%20Atomic%20and%20Molecular%20Layer%20Deposition%20of%20Functional%20Thin%20Films%20Based%20on%20Rare%20Earth.pdf,https://github.com/sciknoworg/ALD-E-ImageMiner/blob/main/example_data/1/images/figures/figure_1.jpg,Figure 1,https://github.com/sciknoworg/ALD-E-ImageMiner/blob/main/example_data/1/images/figures/figure_1.class.txt,,,https://github.com/sciknoworg/ALD-E-ImageMiner/blob/main/example_data/1/images/figures/figure_1.data.txt,,https://github.com/sciknoworg/ALD-E-ImageMiner/blob/main/example_data/1/images/figures/figure_1.summary.txt,,,yes
,,https://github.com/sciknoworg/ALD-E-ImageMiner/blob/main/example_data/1/images/figures/figure_2.jpg,Figure 2,https://github.com/sciknoworg/ALD-E-ImageMiner/blob/main/example_data/1/images/figures/figure_2.class.txt,"a        process flow diagram
b        process flow diagram",,https://github.com/sciknoworg/ALD-E-ImageMiner/blob/main/example_data/1/images/figures/figure_2.data.txt,N/A,https://github.com/sciknoworg/ALD-E-ImageMiner/blob/main/example_data/1/images/figures/figure_2.summary.txt,"a        Inorganic ALD cycle: Alternating pulses of a metal precursor and an oxygen source (e.g., O3), separated by purges, leading to conformal inorganic thin-film growth
b        Hybrid ALD/MLD cycle: Alternating pulses of a metal precursor and an organic precursor, separated by purges, producing hybrid inorganic?organic thin films with molecular-level accuracy",wrong and generic,no
,,https://github.com/sciknoworg/ALD-E-ImageMiner/blob/main/example_data/1/images/figures/figure_3.jpg,Figure 3,https://github.com/sciknoworg/ALD-E-ImageMiner/blob/main/example_data/1/images/figures/figure_3.class.txt,,,https://github.com/sciknoworg/ALD-E-ImageMiner/blob/main/example_data/1/images/figures/figure_3.data.txt,,https://github.com/sciknoworg/ALD-E-ImageMiner/blob/main/example_data/1/images/figures/figure_3.summary.txt,"a        The graph shows the relationship between deposition temperature (T<sub>dep</sub>) and GPC (è/cycle), with GPC decreasing as temperature increases, representing the temperature scanning step.
b        The graph illustrates the effect of precursor pulse length on GPC (è/cycle). GPC rises with increasing pulse length and reaches a plateau, confirming surface saturation of the Eu-thd and HQA precursors.
c        The chart depicts film thickness (nm) as a function of the number of ALD/MLD cycles. The linear increase demonstrates precise thickness control enabled by self-saturating surface reactions.","broadly correct, but could be improved for accuracy and alignment",yes
,,https://github.com/sciknoworg/ALD-E-ImageMiner/blob/main/example_data/1/images/figures/figure_4.jpg,Figure 4,https://github.com/sciknoworg/ALD-E-ImageMiner/blob/main/example_data/1/images/figures/figure_4.class.txt,"a        molecular structure diagram
b        element?property matrix",,https://github.com/sciknoworg/ALD-E-ImageMiner/blob/main/example_data/1/images/figures/figure_4.data.txt,N/A,https://github.com/sciknoworg/ALD-E-ImageMiner/blob/main/example_data/1/images/figures/figure_4.summary.txt,"a        The figure illustrates representative molecular structures of rare earth precursor classes (e.g., diketones, cyclopentadienes, alkoxides, amidinates), highlighting ligand types that coordinate the central atom.
b        The figure presents a coverage matrix linking precursor classes to rare earth elements (Sc, Y, La?Lu), with color bars indicating successful ALD/MLD employment for each element?precursor combination.","Both sentences collapse the figure into metal complexes/ligands only.
They don?t reflect the two different figure types (molecular structures vs. coverage matrix).
They also miss the purpose of the figure: showing precursor classes (ligand families) and their coverage across rare earth elements in ALD/MLD.",no
,,https://github.com/sciknoworg/ALD-E-ImageMiner/blob/main/example_data/1/images/figures/figure_5.jpg,Figure 5,https://github.com/sciknoworg/ALD-E-ImageMiner/blob/main/example_data/1/images/figures/figure_5.class.txt,,,https://github.com/sciknoworg/ALD-E-ImageMiner/blob/main/example_data/1/images/figures/figure_5.data.txt,,https://github.com/sciknoworg/ALD-E-ImageMiner/blob/main/example_data/1/images/figures/figure_5.summary.txt,"The box plot shows the distribution of precursor vessel temperatures for different rare earth precursor classes used in ALD/MLD processes. Each box represents the interquartile range, with whiskers extending to 1.5û the IQR, white squares indicating the arithmetic mean, and black dots marking outliers.","Too generic: doesn?t specify that these are precursor classes (not just ?chemical species?).
Misses details like the purpose (comparative survey of heating temperatures actually used in ALD systems).
Doesn?t reflect what the caption emphasizes (box plot statistics: quartiles, mean, whiskers, outliers).",yes
,,https://github.com/sciknoworg/ALD-E-ImageMiner/blob/main/example_data/1/images/figures/figure_6.jpg,Figure 6,https://github.com/sciknoworg/ALD-E-ImageMiner/blob/main/example_data/1/images/figures/figure_6.class.txt,,,https://github.com/sciknoworg/ALD-E-ImageMiner/blob/main/example_data/1/images/figures/figure_6.data.txt,,https://github.com/sciknoworg/ALD-E-ImageMiner/blob/main/example_data/1/images/figures/figure_6.summary.txt,"a        The scatter plot shows growth-per-cycle (GPC) values of Y2O3 thin films deposited with different Y-precursors using H2O as the co-reactant, highlighting variation in reactivity among precursor classes.
b        The scatter plot presents GPC values of Y2O3 thin films deposited with Y(iPr2amd)(EtCp)2 as the precursor under different co-reactants (H2O, O3, O2, plasma variants), illustrating the impact of oxidant choice.","Too generic: doesn?t say that these are Y?O? ALD processes.
Misses that (a) compares different precursors with the same co-reactant (H?O), while (b) compares different co-reactants with the same precursor.
Doesn?t connect to the scientific purpose: showing how precursor choice vs. co-reactant choice influences GPC.",yes
,,https://github.com/sciknoworg/ALD-E-ImageMiner/blob/main/example_data/1/images/figures/figure_7.jpg,Figure 7,https://github.com/sciknoworg/ALD-E-ImageMiner/blob/main/example_data/1/images/figures/figure_7.class.txt,"a        process flow diagram
b        conceptual diagram",,https://github.com/sciknoworg/ALD-E-ImageMiner/blob/main/example_data/1/images/figures/figure_7.data.txt,N/A,https://github.com/sciknoworg/ALD-E-ImageMiner/blob/main/example_data/1/images/figures/figure_7.summary.txt,"a        The schematic illustrates the supercycle process for ALD doping, showing sequential pulses of a main metal precursor, O3, a dopant precursor, and O3, repeated in cycles.
b        The schematic depicts the resulting supercycles at different repetition ratios (X=1:1, X=3:1, X=5:1), illustrating how the dopant is incorporated into the growing film with controlled composition.","It splits the figure into three parts (a, b, c) when visually the figure really has two parts:
- Top row = process cycle schematic (Metal A ? O? ? Dopant ? O?).
- Bottom row = resulting supercycles at different repetition ratios (X=1:1, X=3:1, X=5:1).
The text for a/b/c is repetitive, describing the same steps again and again without differentiating the parts.
It misses the scientific meaning: this is about the supercycle concept in ALD doping.",no
,,https://github.com/sciknoworg/ALD-E-ImageMiner/blob/main/example_data/1/images/figures/figure_8.jpg,Figure 8,https://github.com/sciknoworg/ALD-E-ImageMiner/blob/main/example_data/1/images/figures/figure_8.class.txt,"a        conceptual diagram
b        conceptual diagram
c        conceptual diagram",,https://github.com/sciknoworg/ALD-E-ImageMiner/blob/main/example_data/1/images/figures/figure_8.data.txt,N/A,https://github.com/sciknoworg/ALD-E-ImageMiner/blob/main/example_data/1/images/figures/figure_8.summary.txt,"a        The schematic illustrates a ternary ALD dosing scheme for doping, where pulses of a secondary precursor are inserted into the main precursor cycle to achieve lightly doped thin films.
b        The schematic shows a dosing sequence in which precursors A and B are alternated uniformly within the cycle, leading to homogeneously mixed ternary oxide films.
c        The schematic represents a supercycle strategy where complete cycles of precursors A and B are stacked, resulting in nanolaminate structures.","It splits the figure into a and b, but the figure actually has three panels:
- Doping
- Homogenous mixing
- Nanolaminates
The summaries are very generic (?methods of material synthesis?) and don?t emphasize that this is about ALD precursor dosing schemes for ternary processes.
The second part (?color-coded representation??) just repeats the legend, instead of interpreting the figure scientifically.",no
,,https://github.com/sciknoworg/ALD-E-ImageMiner/blob/main/example_data/1/images/figures/figure_9.jpg,Figure 9,https://github.com/sciknoworg/ALD-E-ImageMiner/blob/main/example_data/1/images/figures/figure_9.class.txt,"a        spectra chart
b        spectra chart
c        spectra chart
d        spectra chart",,https://github.com/sciknoworg/ALD-E-ImageMiner/blob/main/example_data/1/images/figures/figure_9.data.txt,,https://github.com/sciknoworg/ALD-E-ImageMiner/blob/main/example_data/1/images/figures/figure_9.summary.txt,"a        XRD patterns of LaNiCuO3 films with varying Cu content (0?40+%), showing peak shifts and intensity changes as copper substitution increases.
b        XRD pattern of LaSrCoO3 thin film deposited at 700 ¯C, illustrating crystalline perovskite reflections.
c        XRD pattern of LaSrCuO3 thin film, with labeled diffraction peaks corresponding to the perovskite phase.
d        XRD patterns of LaSrMnO3 films on Si3N4 and YSZ substrates, comparing as-deposited and annealed samples after 3 h at 800 ¯C.","It labels everything as a line chart, but here we clearly have XRD spectra, which fall under your taxonomy as spectra charts (quantitative-plot, domain-specific).
The summaries are too generic (?intensity counts at various 2? angles?) and miss the scientific meaning: each panel corresponds to a different quaternary oxide composition/substrate condition.
They don?t reflect what the caption emphasizes: comparisons of La(Ni,Cu)O?, (La,Sr)CoO?, (La,Sr)CuO?, and (La,Sr)MnO?.",yes
,,https://github.com/sciknoworg/ALD-E-ImageMiner/blob/main/example_data/1/images/figures/figure_10.jpg,Figure 10,https://github.com/sciknoworg/ALD-E-ImageMiner/blob/main/example_data/1/images/figures/figure_10.class.txt,a        molecular structure diagram,"It labeled each individual compound as a molecular structure diagram (a?x).
That?s technically correct, since all 24 subfigures are indeed molecular structure diagrams.
But in practice, this is one single multi-panel figure composed entirely of molecular structures. Splitting into a?x doesn?t add much value, because there?s no variation in figure type.",https://github.com/sciknoworg/ALD-E-ImageMiner/blob/main/example_data/1/images/figures/figure_10.data.txt,N/A,https://github.com/sciknoworg/ALD-E-ImageMiner/blob/main/example_data/1/images/figures/figure_10.summary.txt,"a        Shows molecular structure diagrams of the organic molecules employed as precursors in ALD/MLD processes with rare earth elements. The figure includes terephthalic acid derivatives, heteroaromatic dicarboxylic acids, nucleobase analogues, and polycyclic aromatic dicarboxylic acids, each labeled with acronyms used in ALD/MLD studies.","It redundantly splits into 24 separate parts (a?x), even though all panels are the same type (molecular structure diagram).
Every entry repeats the generic phrase ?various molecular structures of organic compounds,? which adds no extra information.
It ignores the scientific meaning: these aren?t just random organics, but precursors used in ALD/MLD with rare earth elements.",no
